Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
1,0,v Bangladesh,Chattogram,23-12-2004,1,7,Run Out,ODI # 2199,1,0,0,0,ODI
2,12,v Bangladesh,Dhaka,26-12-2004,2,7,Caught,ODI # 2201,11,2,0,109.09,ODI
3,7,v Bangladesh,Dhaka,27-12-2004,1,7,Not Out,ODI # 2202,2,0,1,350,ODI
4,3,v Pakistan,Kochi,02-04-2005,1,7,Caught,ODI # 2235,7,0,0,42.85,ODI
5,148,v Pakistan,Visakhapatnam,05-04-2005,1,3,Caught,ODI # 2236,123,15,4,120.32,ODI
6,28,v Pakistan,Jamshedpur,09-04-2005,2,3,Caught,ODI # 2237,24,5,0,116.66,ODI
7,47,v Pakistan,Ahmedabad,12-04-2005,1,3,Caught,ODI # 2238,64,4,1,73.43,ODI
8,11,v Pakistan,Kanpur,15-04-2005,1,3,Caught,ODI # 2239,16,1,0,68.75,ODI
9,24,v Pakistan,Delhi,17-04-2005,2,3,Caught,ODI # 2240,38,2,0,63.15,ODI
10,2,v Sri Lanka,Dambulla,30-07-2005,1,2,Bowled,ODI # 2262,7,0,0,28.57,ODI
11,15,v West Indies,Dambulla,31-07-2005,2,6,Not Out,ODI # 2263,11,1,1,136.36,ODI
12,20,v Sri Lanka,Dambulla,03-08-2005,1,4,Caught,ODI # 2265,27,1,0,74.07,ODI
13,28,v West Indies,Colombo (RPS),07-08-2005,1,7,Not Out,ODI # 2267,13,1,2,215.38,ODI
14,7,v Sri Lanka,Colombo (RPS),09-08-2005,2,6,Lbw,ODI # 2268,11,0,0,63.63,ODI
15,2,v New Zealand,Bulawayo,26-08-2005,2,7,Caught,ODI # 2273,5,0,0,40,ODI
16,56,v Zimbabwe,Harare,29-08-2005,1,6,Caught,ODI # 2274,46,2,4,121.73,ODI
17,37,v New Zealand,Harare,02-09-2005,2,6,Not Out,ODI # 2278,27,3,2,137.03,ODI
18,67,v Zimbabwe,Harare,04-09-2005,2,7,Not Out,ODI # 2280,63,1,3,106.34,ODI
19,11,v New Zealand,Harare,06-09-2005,1,7,Lbw,ODI # 2281,16,1,0,68.75,ODI
20,38,v Sri Lanka,Nagpur,25-10-2005,1,6,Caught,ODI # 2286,28,3,2,135.71,ODI
21,DNB,v Sri Lanka,Mohali,28-10-2005,2,DNB,DNB,ODI # 2287,0,0,0,0,ODI
